country,year,iso_code,region,population,gdp,co2,co2_per_capita,co2_per_gdp,coal_co2,oil_co2,gas_co2,cement_co2,flaring_co2,other_co2
Africa,1950,OWID_AFR,Africa,34469185,17005601288,4.62,0.13,271.6752,2.65,1.25,0.43999999999999995,0.16,0.08,0.04
Africa,1951,OWID_AFR,Africa,41050595,18728096125,4.89,0.12,261.105,2.8,1.33,0.47,0.16,0.09,0.04
Africa,1952,OWID_AFR,Africa,45722481,22242735428,5.890000000000001,0.13,264.8056,3.36,1.59,0.5700000000000001,0.2,0.1,0.05
Africa,1953,OWID_AFR,Africa,48151669,24705618487,6.949999999999999,0.14,281.3125,3.96,1.8900000000000001,0.68,0.23,0.12000000000000001,0.06
Africa,1954,OWID_AFR,Africa,52078799,29977170296,7.549999999999999,0.14,251.8583,4.3100000000000005,2.05,0.73,0.26,0.13,0.07
Africa,1955,OWID_AFR,Africa,54649481,33305267275,9.07,0.17,272.3293,5.17,2.48,0.8899999999999999,0.31000000000000005,0.16,0.07
Africa,1956,OWID_AFR,Africa,57509129,39326451685,10.18,0.18,258.8588,5.88,2.75,0.95,0.34,0.17,0.09
Africa,1957,OWID_AFR,Africa,60631448,43662262706,11.29,0.19,258.5757,6.51,3.05,1.0699999999999998,0.38,0.19,0.1
Africa,1958,OWID_AFR,Africa,63699289,48312935852,14.040000000000001,0.22,290.6054,8.04,3.81,1.36,0.47000000000000003,0.24000000000000002,0.12000000000000001
Africa,1959,OWID_AFR,Africa,65216741,54985466594,16.13,0.25,293.3502,9.25,4.37,1.54,0.55,0.28,0.14
Africa,1960,OWID_AFR,Africa,111869089,95760912850,18.64,0.17,194.6514,10.440000000000001,5.12,1.95,0.64,0.33,0.16
Africa,1961,OWID_AFR,Africa,124383381,108207321593,22.01,0.18,203.4058,12.48,6.01,2.21,0.75,0.38,0.18000000000000002
Africa,1962,OWID_AFR,Africa,134340627,121227907636,23.99,0.18,197.8917,13.38,6.62,2.55,0.83,0.41,0.21
Africa,1963,OWID_AFR,Africa,140827196,127007587366,28.990000000000002,0.21,228.2541,16.39,7.920000000000001,2.94,1.0,0.5,0.25
Africa,1964,OWID_AFR,Africa,145934564,140734847993,31.459999999999997,0.22,223.5409,17.57,8.67,3.34,1.08,0.54,0.27
Africa,1965,OWID_AFR,Africa,153852225,155771959207,35.18,0.23,225.843,19.7,9.67,3.69,1.21,0.61,0.3
Africa,1966,OWID_AFR,Africa,158745519,163317793944,41.74,0.26,255.5753,23.65,11.4,4.1899999999999995,1.4200000000000002,0.7100000000000001,0.36000000000000004
Africa,1967,OWID_AFR,Africa,165892179,186466552659,48.25,0.29,258.7595,27.03,13.27,5.04,1.6600000000000001,0.8300000000000001,0.42000000000000004
